,song,all,male,female
65,jazz.00019.au,-46.25970762,-4.846801038,8.966684679
66,metal.00038.au,13.45859492,0.812235774,-19.09681743
67,disco.00066.au,28.96541053,20.13606267,-16.1484761
68,country.00095.au,-0.613096045,11.94187564,2.098672525
69,reggae.00092.au,-11.6738637,5.871805108,-12.05931856
70,reggae.00083.au,-46.72093417,-10.5340738,14.2684339
71,country.00011.au,-19.40078376,-16.35949383,4.250466699
72,disco.00085.au,-13.66935978,-11.30798255,-5.047234764
73,jazz.00076.au,-2.569023678,4.791420108,6.054032651
74,disco.00068.au,13.28713063,4.099440851,-13.91201986
75,disco.00080.au,-34.54967831,-7.177606616,2.429428062
76,blues.00046.au,-15.39076573,-5.161193611,-2.241578294
77,rock.00087.au,32.42471516,15.42144542,-13.31631458
78,pop.00096.au,46.25806168,-13.2248336,6.816761967
79,pop.00044.au,45.70233904,-11.12282265,-6.47902516
80,jazz.00016.au,-43.06432509,-2.576900812,7.494781325
81,blues.00077.au,39.25741242,15.96892318,-17.08865965
82,metal.00026.au,20.34787253,8.791853088,-17.69478208
83,jazz.00014.au,-60.62171179,-5.608361027,11.98915925
84,jazz.00084.au,-8.428926257,-11.57140225,-0.078011606
85,disco.00010.au,50.33396489,-2.975891907,-6.416836641
86,blues.00055.au,19.13734419,7.226628056,-6.419951169
87,classical.00020.au,-56.18428343,1.016699297,9.559664601
88,country.00088.au,2.676409028,9.950723386,-2.690094481
89,disco.00099.au,9.093329119,26.47449912,-14.519341
90,reggae.00081.au,19.5108116,0.762258184,22.30482001
91,disco.00063.au,34.79903137,4.333389435,-14.17527616
92,disco.00000.au,8.094772445,-3.822892548,3.266523111
93,reggae.00001.au,-26.28927849,0.591344377,2.975805964
94,metal.00091.au,11.06402421,12.89468579,-11.93150447
95,jazz.00069.au,-16.28353387,13.12117837,-6.230109891
96,jazz.00096.au,-47.65708211,-7.255696918,6.208913925
97,country.00078.au,-50.71831884,-8.6481345,13.77141327
98,hiphop.00095.au,18.18342841,1.483562411,-11.84654686
99,country.00027.au,9.179259786,13.46911053,2.75142929
100,pop.00068.au,56.2218676,-3.593159443,0.430624047
101,reggae.00099.au,25.88884836,10.80693217,-18.55953147
102,jazz.00028.au,-38.39335249,-5.196509164,6.284762277
103,classical.00073.au,-56.5394202,-1.180359122,12.73090179
104,country.00054.au,-19.15085201,-0.755569495,1.041525451
105,metal.00010.au,17.92614434,7.884168099,-17.34493663
106,pop.00071.au,56.44672303,-5.199069924,11.47814429
107,metal.00072.au,33.53175673,12.46080089,-13.59653854
108,pop.00017.au,40.07153998,-7.270516478,2.322289983
109,hiphop.00019.au,26.75560052,4.611868684,-10.84906735
110,disco.00075.au,12.50184352,5.902539488,-11.67517444
111,rock.00079.au,12.74166774,13.37661037,-9.326838295
112,metal.00020.au,18.61240849,6.49717249,-14.02081219
113,classical.00093.au,-26.94434598,5.052615488,4.699353147
114,rock.00004.au,-1.663585479,8.343269583,0.595268714
115,hiphop.00080.au,31.6787873,-10.13274711,-6.216920858
116,blues.00007.au,-21.10537505,5.353697623,6.766121195
117,pop.00074.au,44.24793575,-15.59555724,8.841570752
118,classical.00030.au,-58.08255877,-3.159842051,14.54777013
119,reggae.00000.au,-16.10525387,3.783917012,-5.830797198
120,pop.00014.au,-2.64436788,1.279561821,3.936245782
121,country.00071.au,-22.3018055,9.053892149,11.97103874
122,jazz.00047.au,-28.62174504,-6.30574537,4.984165629
123,pop.00032.au,9.146967265,-14.65696968,-0.625602408
124,disco.00049.au,36.4595422,13.75756894,-7.739400426
125,reggae.00056.au,-16.00017657,-4.883242786,6.646575518
126,metal.00005.au,18.52659751,9.626141209,-11.57471136
127,pop.00073.au,54.11465473,-3.521244996,-0.502610673
128,metal.00051.au,46.75121767,10.64591991,-15.67785283
129,blues.00052.au,-33.68167744,2.465824062,7.679234417
130,pop.00052.au,60.5279254,-13.47718816,-3.726305368
131,blues.00075.au,20.28928025,1.211991347,-19.98386616
132,reggae.00088.au,35.67077302,-13.31720839,0.27818851
133,classical.00022.au,-54.63524597,-2.249587433,19.46975606
134,hiphop.00092.au,-9.911753914,-6.966952057,-3.676026703
135,country.00034.au,-5.359248108,-6.211564707,3.992464419
136,blues.00029.au,-34.13917065,0.135271038,-1.531135027
137,classical.00011.au,-64.73035732,-5.396265931,13.69919619
138,classical.00000.au,-46.87464225,-2.545931171,10.50537342
139,metal.00089.au,20.03363553,15.33116099,-2.101426118
140,country.00035.au,3.891532515,-3.78839472,3.919112554
141,disco.00013.au,48.36018389,-9.036180701,1.29594474
142,pop.00080.au,50.79613795,-15.64769861,-8.617140543
143,jazz.00056.au,45.32500858,-8.295231106,0.993513327
144,disco.00076.au,13.59564924,19.2718884,-10.63930364
145,rock.00016.au,38.13315228,15.23042812,-13.68572085
146,pop.00070.au,36.2171929,-10.59351389,10.92114325
147,disco.00051.au,17.27598195,14.36092087,-12.76690825
148,reggae.00086.au,56.12421634,1.115522548,-4.051700342
149,pop.00049.au,-9.858102178,-1.643316385,8.207369878
150,classical.00049.au,9.169756998,13.64357342,5.165549654
151,blues.00032.au,-48.50690934,-11.56726663,7.490796157
152,blues.00096.au,-53.02217404,-9.730336422,13.13748444
153,pop.00006.au,-11.55191153,-6.855248979,7.659842272
154,classical.00039.au,-67.09447827,-7.502404809,17.68316803
155,pop.00019.au,47.95896154,0.898943624,1.649658343
156,hiphop.00017.au,24.18431664,5.824839385,-6.896897431
157,jazz.00018.au,-25.26949539,-4.430212839,3.652358667
158,jazz.00058.au,-32.0430789,7.508992591,17.29217723
159,country.00072.au,11.6400347,15.72467919,-1.664393944
160,disco.00053.au,26.92330833,6.47336256,8.685756984
161,jazz.00066.au,5.773814876,11.06250424,3.822703159
162,jazz.00090.au,-33.63384196,-7.585855853,7.430186697
163,disco.00058.au,8.782255961,2.54836551,-6.492392763
164,disco.00018.au,36.11955986,-7.600656715,5.0175556
165,reggae.00075.au,37.34310411,-1.355385264,1.205341278
166,country.00048.au,-7.121805722,3.490855522,12.46931277
167,pop.00055.au,47.16085199,-15.78468716,-1.289915042
168,disco.00088.au,17.60061511,8.535344898,-7.648457385
169,metal.00092.au,25.30133437,13.13060438,-9.947675908
170,disco.00092.au,4.135072345,4.483068671,-14.49413072
171,hiphop.00070.au,41.25401188,-19.84479093,7.497072031
172,jazz.00010.au,-55.19127453,-7.444007553,19.05566221
173,disco.00074.au,34.78185937,15.41650878,-12.3728669
174,reggae.00002.au,-24.5978105,-5.240072886,8.83500225
175,classical.00063.au,-70.81457143,-4.900697227,15.06816845
176,jazz.00088.au,-21.4480317,-12.37007385,7.396689989
177,blues.00033.au,-31.85871215,2.541341572,-2.451399751
178,classical.00082.au,-48.77659249,1.757284587,12.40406357
179,classical.00072.au,-63.0311524,-7.319980312,14.33465736
180,pop.00098.au,52.96655294,-9.485265726,-5.200728221
181,jazz.00062.au,-16.36212823,2.308230307,13.1687337
182,blues.00009.au,-32.54097214,-8.530462261,-2.418052585
183,classical.00012.au,-60.99708479,-5.584455433,18.36683411
184,hiphop.00056.au,14.3294246,-7.429641094,-10.49055584
185,reggae.00063.au,-17.63879727,2.563903295,7.782808909
186,reggae.00031.au,-35.39756934,-2.582791738,5.732148335
187,jazz.00017.au,-37.65698049,-5.291286046,3.151280928
188,rock.00025.au,29.76987648,14.59803753,-14.57673666
189,pop.00028.au,43.81313313,-6.188001826,1.260026435
190,hiphop.00032.au,-3.066997999,-12.79508096,6.338521711
191,pop.00062.au,50.74992786,3.173699981,-2.52193646
192,country.00059.au,-20.22680057,0.259293754,-4.814551183
193,pop.00066.au,44.12915289,-10.4281285,7.355338087
194,jazz.00051.au,-43.88694244,-8.011448775,17.1822478
195,country.00081.au,23.81439136,17.9404342,-6.947393608
196,disco.00008.au,45.48580557,-0.799211512,-7.228598405
197,classical.00055.au,-72.48891621,-7.417739737,12.70712167
198,rock.00057.au,37.14699133,-9.127984443,1.634150867
199,classical.00010.au,-56.19703501,-2.17385034,8.752572436
200,jazz.00027.au,-44.0485362,-7.002619989,6.928326599
201,metal.00037.au,14.77854684,12.8831069,-12.05817151
202,classical.00037.au,-46.82960141,-2.85370859,13.27692679
203,classical.00028.au,-42.80631245,2.979375674,12.02324697
204,metal.00058.au,38.41943982,15.17370607,-14.57377379
205,metal.00041.au,13.74293133,17.06080886,-23.20430814
206,disco.00004.au,34.42551712,-9.752244868,4.616830066
207,rock.00059.au,-33.36672362,-10.6590633,7.809852434
208,hiphop.00079.au,32.70607717,-14.47187534,-4.141497988
209,rock.00096.au,-2.599618609,12.90252692,-5.165063777
210,disco.00003.au,42.19291694,-4.922064591,-10.15427437
211,classical.00061.au,-53.5235989,3.054086185,9.447811584
212,pop.00058.au,33.33012578,-8.339048818,7.507887659
213,jazz.00050.au,39.46970506,-9.28882516,1.322316137
214,hiphop.00024.au,30.06243752,7.326840297,-11.20378036
215,blues.00045.au,-13.79467604,-4.754895116,-2.618519423
216,blues.00089.au,-59.87891828,-11.57302695,13.14270496
217,blues.00002.au,14.72150526,17.99184023,-1.216780562
218,rock.00095.au,-3.087211028,12.7146135,-7.07552625
219,country.00005.au,47.84149887,-3.886622223,-4.836822984
220,country.00086.au,5.364789895,8.866775978,-7.594566231
221,hiphop.00060.au,-10.15798733,-3.161111672,-3.030102203
222,blues.00012.au,-30.16191419,2.501043524,4.293936466
223,hiphop.00008.au,11.90153133,-0.083643421,-14.93344899
224,blues.00074.au,35.28467388,9.5386859,-8.195884648
225,hiphop.00030.au,50.6676114,-9.304653849,-0.92582599
226,pop.00045.au,41.54264139,-4.953508055,12.77746066
227,rock.00090.au,15.42532052,9.264384883,-11.88881114
228,reggae.00067.au,0.314498812,3.19671674,8.666526912
229,rock.00023.au,17.68774042,18.71773809,-11.69379405
230,blues.00073.au,37.46033233,13.56552136,-11.43156152
231,pop.00065.au,15.07591984,-3.498166911,9.469022053
232,classical.00050.au,-70.42770469,-8.251840374,12.84083919
233,pop.00069.au,45.98680366,1.277933066,-2.842801299
234,reggae.00007.au,-27.81711036,-3.169215484,-0.616744204
235,country.00031.au,-1.6778295,3.25897749,3.602397495
236,classical.00095.au,-67.28023118,-11.27381782,15.46399619
237,jazz.00079.au,-5.432455302,-9.219315207,-0.490342527
238,blues.00080.au,31.2757613,20.10193012,-9.834030623
239,classical.00096.au,-28.80341805,-7.546382364,13.5507582
240,reggae.00047.au,-0.657576916,-9.072187318,-9.148827653
241,disco.00082.au,28.27992655,14.64717384,-5.808882495
242,classical.00068.au,-43.08152294,1.11308221,10.84633327
243,country.00007.au,49.6481826,-4.834851889,-2.781759288
244,reggae.00006.au,-31.47343706,-3.137730306,13.99538219
245,blues.00019.au,-40.04714945,0.528770691,7.270945432
246,disco.00084.au,-25.7756438,-13.28846798,4.698840421
247,hiphop.00098.au,6.035600676,-1.900940386,-13.53776003
248,disco.00002.au,43.90445047,-12.79070484,2.808798972
249,hiphop.00016.au,18.69446408,-2.908305277,-14.33176596
250,reggae.00043.au,-19.78712816,5.941578745,10.56447382
251,blues.00062.au,1.849927738,8.898964532,-14.60382537
252,classical.00045.au,-21.40566202,7.593289549,9.109014819
253,hiphop.00058.au,10.34789224,-4.25902253,-10.09384214
254,reggae.00046.au,-11.90745575,-8.12261181,0.356163538
255,country.00075.au,30.15525936,10.7960114,-9.228084607
256,metal.00036.au,18.54194231,8.425974026,-14.67747648
257,reggae.00057.au,-17.01658868,-10.16843743,9.060583808
258,disco.00093.au,19.80396017,5.520379762,-10.51430542
259,hiphop.00018.au,13.09582625,-3.619340593,-16.40927597
260,country.00055.au,13.43983655,13.73775482,-4.674538361
261,metal.00039.au,18.55546269,21.71093003,-13.09530662
262,hiphop.00053.au,-4.760059742,-11.66321918,0.044647092
263,jazz.00038.au,-16.53235732,2.376334377,13.1870492
264,rock.00007.au,-3.402615514,10.33243927,3.913148001
265,country.00074.au,-23.96978327,0.57079353,15.6837289
266,hiphop.00033.au,47.64491241,-3.560834161,-10.22177098
267,blues.00083.au,39.26415254,12.19434722,-12.04513718
268,disco.00041.au,3.269981896,4.158307878,6.605583596
269,pop.00012.au,40.82722548,-4.961344741,1.650042985
270,rock.00091.au,17.04439095,14.23964301,-17.50969399
271,country.00051.au,-27.89384032,-1.334888526,5.480590071
272,country.00003.au,40.29921074,1.700751538,-1.101582894
273,hiphop.00022.au,15.16081344,5.629142205,0.092306527
274,jazz.00091.au,-52.14407092,-13.716271,5.248316668
275,country.00041.au,7.031239562,-7.862392508,1.180625949
276,pop.00022.au,53.78183754,-18.65137461,-1.426316326
277,reggae.00080.au,14.90544799,-8.616432927,-10.58157496
278,country.00047.au,-17.67307732,5.771798473,8.539038599
279,metal.00015.au,16.42153805,7.268300091,-16.67545311
280,hiphop.00078.au,17.79405404,-25.39337125,9.753610897
281,jazz.00036.au,-32.23193688,7.528415029,17.33447223
282,country.00049.au,5.547087735,13.94539613,3.342428434
283,reggae.00079.au,-4.600309446,-9.793003235,-6.006983131
284,metal.00014.au,12.6493355,8.402035506,-22.13649026
285,pop.00000.au,41.58991257,-13.94299059,8.600394965
286,country.00062.au,11.62646763,9.94408585,-6.110320339
287,reggae.00078.au,-16.07375591,-14.69095791,-1.735673195
288,metal.00028.au,34.11389898,15.0926831,-15.54258215
289,blues.00006.au,-26.90196992,7.461989884,4.63452624
290,reggae.00038.au,-45.02184313,-2.150646462,0.180762575
291,country.00018.au,-0.287506736,2.612422042,5.307553002
292,jazz.00059.au,-21.57319396,0.939521421,-1.00125412
293,country.00093.au,-28.72186539,-4.81162024,8.565856074
294,metal.00077.au,30.16651977,12.43947633,-15.37898324
295,classical.00027.au,-63.25456857,-4.768464697,15.79098179
296,pop.00085.au,29.15773146,-8.909054368,0.177013911
297,disco.00081.au,-22.57610865,-8.685304887,9.407197331
298,reggae.00097.au,-4.326348408,4.416955082,-0.534314343
299,blues.00017.au,-42.27544663,3.96789836,5.294070169
300,rock.00006.au,11.19173629,19.95051496,-2.022755748
301,country.00089.au,-29.79211724,2.050876138,9.983310577
302,disco.00069.au,3.552963346,6.188484343,-1.804761406
303,rock.00050.au,-6.682677721,-1.733681495,7.596217055
304,classical.00087.au,-67.08956821,-3.647010564,12.38675235
305,hiphop.00014.au,30.36780867,14.18657761,-20.06192732
306,classical.00048.au,6.890201864,13.7345744,7.246441207
307,hiphop.00034.au,51.52511611,-1.062986485,-6.51587399
308,rock.00099.au,-36.27999859,-10.23079831,13.79284186
309,blues.00043.au,9.847020063,5.075830179,-9.235835594
310,hiphop.00036.au,-32.06259188,-15.84387234,3.311544975
311,rock.00045.au,-17.04522535,8.107471613,10.18117285
312,jazz.00037.au,-28.84747826,5.236226653,8.40729621
313,disco.00055.au,14.39116086,6.322287,-7.684059044
314,jazz.00080.au,3.707727486,-9.318819066,-2.790260344
315,rock.00047.au,37.6525775,-8.273434891,-3.861956843
316,reggae.00017.au,-6.033448164,4.506372021,-6.493253311
317,blues.00070.au,1.462979723,10.45181955,-11.5384333
318,pop.00082.au,42.53361944,-12.7031376,6.682139055
319,jazz.00098.au,-34.58709301,-5.800244829,4.521260226
320,metal.00042.au,14.66796619,13.42005095,-19.75042099
321,metal.00027.au,32.37570798,13.25764608,-14.2145189
322,hiphop.00076.au,17.79405706,-25.39340198,9.753638572
323,pop.00038.au,53.46333125,-5.117419624,-7.056543399
324,hiphop.00011.au,24.25029626,9.934944489,-3.159679492
325,rock.00029.au,39.4547894,1.035947935,-5.848596456
326,jazz.00086.au,0.595426903,-12.30385032,-4.225137457
327,jazz.00007.au,-50.66605842,-5.802392189,11.49074398
328,jazz.00004.au,-44.77731905,-5.251711896,11.60899005
329,reggae.00040.au,-57.04400059,-1.466211915,5.141263891
330,hiphop.00054.au,7.330331085,-11.72236204,2.190893559
331,blues.00094.au,-20.80245274,-5.81525695,14.53975004
332,blues.00034.au,-30.35456891,-0.080884295,-3.497465646
333,rock.00093.au,4.850532337,14.5498894,-3.264777346
334,country.00038.au,6.806652948,-8.363908063,3.439697678
335,hiphop.00009.au,15.0167446,-0.777665952,-9.08427736
336,disco.00012.au,39.66633909,-4.640367978,-5.873924147
337,disco.00073.au,16.16526282,4.64915343,-12.43309915
338,reggae.00060.au,-51.52877459,-7.165936402,4.478082067
339,hiphop.00035.au,15.23916881,-12.09969712,7.411633617
340,disco.00044.au,31.40204427,0.050371109,3.901025626
341,rock.00071.au,18.48552636,9.907077939,-2.750357631
342,metal.00012.au,18.67161607,9.815791111,-18.38680961
343,classical.00029.au,-54.45599908,2.624872243,7.165198251
344,blues.00016.au,-37.02073041,-1.065390538,1.456757161
345,rock.00049.au,-11.62256742,-4.335178437,11.95209698
346,classical.00019.au,-72.52665586,-9.476874441,13.92405656
347,metal.00062.au,13.50284598,17.26749852,-23.02528507
348,rock.00020.au,27.20348331,18.26090832,-11.78248736
349,blues.00063.au,5.463702221,7.983495656,-16.6573466
350,rock.00078.au,2.324796833,4.980775255,-1.712657679
351,jazz.00067.au,-25.24773795,11.41422614,11.41982309
352,disco.00089.au,2.66194319,17.75470089,-9.357757099
353,pop.00079.au,-45.26382887,-10.29676666,7.447370203
354,reggae.00058.au,-9.957855273,-13.69021703,1.480561911
355,classical.00032.au,-71.73020325,-7.893750572,15.80221567
356,country.00099.au,34.51119646,16.27145741,-9.753223473
357,pop.00061.au,42.7587029,-16.25381571,-3.048802486
358,jazz.00072.au,-37.54510278,11.90251589,11.13804002
359,jazz.00053.au,-8.981741801,17.92769868,-11.24499962
360,hiphop.00059.au,-4.757113736,-3.736119366,-4.099548014
361,metal.00056.au,46.39889095,11.36764509,-13.7033209
362,blues.00047.au,-13.24476162,-4.086857169,-2.478383602
363,rock.00062.au,-33.31591442,-12.98253302,7.134812402
364,classical.00083.au,-63.49886154,-1.831842692,12.95834808
365,jazz.00082.au,-1.116803479,-11.86771769,-1.700704813
366,hiphop.00047.au,43.28533721,-14.90708304,4.637098758
367,hiphop.00055.au,-12.5882661,-0.682883247,4.044267502
368,rock.00074.au,16.442875,10.56205814,-6.257555197
369,pop.00092.au,50.6925356,-1.167820303,0.144062636
370,hiphop.00045.au,18.43849941,-13.071659,21.41046928
371,blues.00061.au,15.42812754,9.581763421,-14.76462391
372,hiphop.00085.au,7.513408481,0.178257085,-10.65603348
373,disco.00035.au,44.40765411,-11.17424467,0.458894675
374,pop.00087.au,49.4315852,-11.94677233,4.538686562
375,jazz.00040.au,-25.31524428,11.46387254,11.46526379
376,metal.00024.au,39.20606204,12.58275929,-14.68328823
377,metal.00069.au,6.481802511,6.206966383,-6.299695162
378,classical.00005.au,-45.28034944,0.603488372,9.747270185
379,pop.00093.au,51.47207821,-6.099934206,-0.92492209
380,rock.00009.au,-25.26719441,7.912710861,8.296016866
381,hiphop.00082.au,4.108915957,3.017671951,-7.679723388
382,pop.00064.au,34.37130511,-11.3517519,6.026939061
383,metal.00071.au,20.68663034,6.079935973,-20.92862572
384,metal.00086.au,11.51928089,9.859727882,-16.70637947
385,metal.00035.au,48.54632901,14.6388692,-13.46735212
386,country.00087.au,-9.100622552,10.40680537,4.286068265
387,jazz.00077.au,32.80129225,-8.462494404,-2.33323873
388,jazz.00073.au,34.65631287,-11.56630687,2.494389487
389,classical.00075.au,-65.73692692,-7.353444674,13.92023372
390,rock.00077.au,10.22007745,6.179022053,-5.706846074
391,classical.00001.au,-56.42844983,-3.89313976,11.42618263
392,pop.00041.au,-31.31887911,-7.809709602,8.701240331
393,hiphop.00046.au,42.26422707,-10.6511879,10.6034383
394,disco.00036.au,48.92329123,-6.701621427,-1.91886621
395,country.00050.au,-3.346302371,9.521026932,-6.407320307
396,jazz.00065.au,-38.49314169,-3.41309504,24.40335659
397,classical.00006.au,-54.00447899,-3.591710502,10.75575222
398,pop.00075.au,45.18960243,-17.34559029,2.850378446
399,jazz.00087.au,-56.21921652,-13.29027752,8.534749962
400,country.00080.au,11.45014156,13.76490123,-6.320067569
401,classical.00047.au,-68.31519529,-7.126868893,16.10043378
402,rock.00080.au,13.07207226,10.11723074,-11.77515192
403,hiphop.00027.au,7.624698253,-8.066644779,-3.746016194
404,rock.00082.au,12.13973401,7.409181944,-17.41589134
405,country.00085.au,-6.434037039,8.773128557,-1.496615679
406,hiphop.00051.au,29.3955609,-15.58256789,4.509601614
407,metal.00060.au,25.81755141,13.76814408,-12.67076164
408,jazz.00002.au,-44.8244251,4.758155127,12.87582274
409,classical.00052.au,-26.85444631,-9.156135972,14.87626738
410,reggae.00084.au,-8.547689879,-1.161097912,0.957775342
411,disco.00020.au,8.419929615,16.42698425,-7.604094022
412,rock.00086.au,-6.271154929,0.500791299,-16.51920284
413,rock.00002.au,4.345887606,3.595000405,-5.857374064
414,metal.00098.au,18.97479315,23.20706576,-13.28919628
415,reggae.00089.au,-31.24562679,7.573904747,10.44525371
416,classical.00077.au,-72.74410826,-5.270994147,13.51947895
417,disco.00040.au,35.19598863,-5.764107457,1.677416017
418,hiphop.00075.au,34.40909397,-16.87710857,5.475302304
419,reggae.00042.au,-15.08697534,-12.31221699,4.79559237
420,classical.00044.au,-67.01237188,-5.291210499,13.54674608
421,disco.00090.au,3.531361321,-0.26499286,-8.652849637
422,classical.00015.au,-69.91362775,-9.822879764,14.52679672
423,jazz.00092.au,-52.13845654,-12.13314515,7.767696019
424,rock.00040.au,35.33744198,-10.1944285,-4.83021559
425,jazz.00048.au,-29.41968376,-4.919812759,5.761259673
426,hiphop.00091.au,15.95131291,0.11861926,-13.03502928
427,blues.00095.au,-2.097612572,10.95500068,5.056573697
428,hiphop.00001.au,20.98752518,0.778935726,-14.32815223
429,rock.00058.au,-2.116309156,-4.097866714,4.556225874
430,metal.00079.au,22.5032327,9.240417645,-16.25625218
431,pop.00095.au,52.41417285,-9.971390551,4.937205025
432,country.00029.au,-22.75643742,7.224016476,10.02654406
433,jazz.00031.au,-41.36788481,-5.727617434,7.162849773
434,classical.00057.au,-65.14506362,-5.902891632,8.78719867
435,pop.00036.au,47.28700511,-4.670605784,7.673747125
436,metal.00054.au,44.77660896,10.79553308,-14.36935593
437,blues.00015.au,-38.50697163,0.045783065,4.967348448
438,rock.00037.au,30.07435683,-5.900621847,-4.460284379
439,country.00030.au,-49.60672369,-12.2829224,11.23272292
440,reggae.00093.au,-3.461547623,1.038401588,8.769700762
441,blues.00091.au,-39.3445174,1.324654853,19.04905632
442,reggae.00018.au,-18.12330606,-4.138594813,-4.796902498
443,classical.00017.au,-57.21860599,-1.746549398,18.07988066
444,rock.00084.au,12.44647497,7.839025707,-14.00947758
445,rock.00028.au,14.78473697,18.54443297,-18.1641071
446,reggae.00070.au,0.227140844,-4.184828907,-6.165371054
447,rock.00017.au,30.68332488,15.67966036,-13.18927683
448,pop.00063.au,0.84661891,3.429904489,6.021849823
449,hiphop.00064.au,28.61233239,-16.1510079,-0.104450639
450,country.00036.au,-58.68584204,-8.114711898,8.907128953
451,disco.00057.au,-4.629941865,11.48339876,-4.62235126
452,metal.00094.au,6.080901777,10.85531949,-28.04139896
453,rock.00073.au,28.00011032,12.40926272,-8.224213756
454,reggae.00064.au,43.62685893,-14.34296759,0.851131051
455,pop.00089.au,49.41329781,-9.970467658,-7.769126876
456,pop.00040.au,29.77133344,3.655885219,10.46888948
457,country.00033.au,3.85750859,-3.209341655,-2.707167126
458,pop.00018.au,45.6684139,-10.01502476,3.955233795
459,hiphop.00063.au,31.6916924,-11.9509848,-0.564096569
460,hiphop.00062.au,3.044725197,-11.4250971,5.762024025
461,country.00021.au,-37.52851761,4.35557045,12.25190417
462,reggae.00005.au,-23.49450345,-2.809219447,4.059150678
463,metal.00081.au,37.50982222,17.60346015,-14.23425958
464,disco.00065.au,12.09455179,5.612946196,-2.762047775
465,metal.00011.au,44.08800158,14.06078086,-15.94383946
466,classical.00002.au,-44.08288681,-1.572781605,10.79652307
467,classical.00016.au,-71.47522527,-7.903787339,14.1615598
468,pop.00078.au,41.21296276,-7.176140737,-2.234078689
